	C21D00958	C21D00961	C21D00964	D21D00987T	M21D00956	M21D01001	M21D01009	N21D00959	P21D00955	P21D00957M	P21D00966	P21D00968M	P21D00969M	P21D00970	P21D00971	P21D00973M	P21D00974M	P21D00979M	P21D00981M	P21D00983	P21D00984	P21D00985	P21D00991M	P21D00994M	P21D00995M	P21D00996M	P21D00998	P21D01005	P21D01016M	P21D01019	X21D00967
RICTOR_E11_STA101481	2166.0	3512.0	2930.0	1648.0	4024.0	970.0	1889.0	3085.0	406.0	1465.0	1401.0	1627.0	3271.0	1610.0	1412.0	2034.0	1937.0	2962.0	9162.0	1887.0	3150.0	1908.0	1526.0	4417.0	3218.0	1020.0	1725.0	298.0	4686.0	2286.0	4088.0
RICTOR_E10_STA101482	10580.0	12235.0	11199.0	7120.0	18104.0	4560.0	6664.0	10612.0	1143.0	8168.0	5263.0	7189.0	12857.0	6221.0	6221.0	9437.0	9563.0	10840.0	34471.0	8607.0	14136.0	7326.0	4716.0	16705.0	14667.0	5023.0	7360.0	1281.0	22160.0	9456.0	17991.0
RICTOR_E9_STA101483	4515.0	5650.0	4321.0	3462.0	7053.0	1864.0	3617.0	5195.0	958.0	2638.0	2728.0	2046.0	5385.0	3352.0	2399.0	3772.0	3544.0	4577.0	14628.0	3185.0	4842.0	2839.0	2857.0	7680.0	5595.0	1719.0	2681.0	462.0	7679.0	3801.0	6760.0
RICTOR_E8_STA101484	2432.0	3149.0	2988.0	1929.0	4378.0	1393.0	1935.0	2284.0	402.0	2241.0	1097.0	1710.0	3290.0	1569.0	1927.0	1584.0	2688.0	2985.0	12966.0	2279.0	4140.0	2340.0	1264.0	4813.0	3730.0	1177.0	1963.0	234.0	7677.0	2837.0	4429.0
RICTOR_E7_STA101485	2174.0	2704.0	2106.0	1628.0	3171.0	921.0	2039.0	1861.0	279.0	1312.0	1105.0	1063.0	2553.0	1665.0	1486.0	1319.0	1623.0	1777.0	8784.0	1506.0	2496.0	1446.0	1611.0	4828.0	2873.0	668.0	1598.0	193.0	3641.0	1581.0	2936.0
RICTOR_E6_STA101486	873.0	1003.0	668.0	671.0	1345.0	443.0	700.0	731.0	56.0	477.0	308.0	456.0	967.0	478.0	465.0	500.0	702.0	924.0	3025.0	747.0	1230.0	903.0	584.0	1324.0	1000.0	416.0	634.0	148.0	2014.0	648.0	1376.0
RICTOR_E5_STA101739	15503.0	19888.0	14725.0	11313.0	24744.0	7145.0	9628.0	19845.0	1729.0	10141.0	7753.0	8450.0	17395.0	11168.0	8679.0	11699.0	10908.0	13472.0	52148.0	11175.0	16969.0	10815.0	10371.0	27430.0	19696.0	4984.0	11301.0	1878.0	26916.0	12590.0	23223.0
RICTOR_E4_STA101488	15599.0	14513.0	14065.0	9211.0	12349.0	6229.0	9620.0	13729.0	1787.0	8782.0	3527.0	8814.0	18010.0	8369.0	7812.0	11057.0	12610.0	12784.0	42888.0	9830.0	16805.0	8563.0	7137.0	21593.0	17214.0	5370.0	9492.0	1572.0	26426.0	11194.0	23194.0
RICTOR_E3_STA101489	1871.0	2199.0	1861.0	1306.0	2676.0	919.0	1061.0	2152.0	217.0	1196.0	669.0	1176.0	2671.0	1340.0	1007.0	1114.0	1290.0	2019.0	7371.0	1389.0	2755.0	1689.0	1141.0	3446.0	2045.0	744.0	1464.0	204.0	4465.0	1674.0	3051.0
RICTOR_E1_STA101491	1402.0	2835.0	2673.0	610.0	1275.0	727.0	1241.0	2045.0	440.0	1184.0	1456.0	1231.0	2533.0	1879.0	927.0	1435.0	1619.0	1668.0	2669.0	1774.0	3158.0	1792.0	806.0	2476.0	2144.0	787.0	1233.0	233.0	2962.0	2375.0	5032.0
HIST1H3B_E1_STA100235	6877.0	8165.0	6708.0	7413.0	9598.0	7618.0	9110.0	5735.0	1010.0	8664.0	2893.0	5134.0	7941.0	5479.0	2988.0	3395.0	6046.0	5615.0	7578.0	6070.0	10543.0	7427.0	4356.0	14181.0	8456.0	3823.0	9732.0	1100.0	9231.0	9201.0	13686.0
