	D20D02433	D20D02436T	D20D02444	D20D02445T	G20D02417	G20D02460	K20D02437	M20D02448	M20D02474	N20D02449	N20D02451	N20D02452	P20D02439	P20D02450	P20D02453	P20D02454	P20D02455	P20D02456	P20D02459	P20D02464	P20D02465	P20D02469	P20D02471	S20D02363	S20D02435	S20D02473	T20D02402	U20D02442	U20D02443	X20D02423	X20D02457
BRCA1_E21_STA100980	7126.0	4858.0	5313.0	8364.0	4510.0	13509.0	865.0	3260.0	9000.0	770.0	4510.0	8312.0	5886.0	9197.0	9390.0	2168.0	9785.0	5062.0	5980.0	7808.0	11288.0	7891.0	4966.0	2152.0	5376.0	1114.0	3424.0	271.0	4407.0	23529.0	9869.0
BRCA1_E20_STA101745	5886.0	4000.0	5189.0	7513.0	3425.0	8956.0	523.0	2153.0	6599.0	387.0	3605.0	6328.0	4472.0	6969.0	7419.0	1550.0	7971.0	3123.0	4178.0	5852.0	8909.0	5401.0	3911.0	1457.0	5096.0	833.0	2950.0	140.0	3301.0	14298.0	7546.0
BRCA1_E19_STA101746	10602.0	5627.0	6106.0	11077.0	3600.0	15065.0	811.0	3452.0	9836.0	636.0	4552.0	10501.0	7949.0	11007.0	11742.0	2795.0	10079.0	5808.0	5446.0	10267.0	15217.0	8157.0	5341.0	1726.0	8909.0	974.0	3374.0	224.0	5659.0	40692.0	11321.0
BRCA1_E19_STA100983	2318.0	2195.0	1991.0	4946.0	1467.0	7102.0	336.0	1058.0	3315.0	212.0	3442.0	5160.0	2973.0	6118.0	5480.0	1225.0	4503.0	2234.0	2540.0	4413.0	5801.0	4834.0	3219.0	682.0	2804.0	401.0	1857.0	92.0	2292.0	7117.0	7325.0
BRCA1_E18_STA101750	9451.0	5933.0	6931.0	10915.0	5176.0	15269.0	865.0	3570.0	9871.0	1095.0	4614.0	9103.0	6315.0	10187.0	10250.0	2180.0	11474.0	6024.0	7083.0	8675.0	15167.0	8936.0	6498.0	2527.0	8199.0	1169.0	4241.0	214.0	5651.0	29211.0	11696.0
BRCA1_E17_STA100985	2954.0	1998.0	2834.0	4205.0	2453.0	7248.0	527.0	1393.0	4699.0	349.0	2407.0	3531.0	3293.0	5208.0	5193.0	1293.0	5417.0	2514.0	3427.0	3886.0	6306.0	3785.0	2384.0	1371.0	2754.0	443.0	1948.0	84.0	2232.0	8988.0	4424.0
BRCA1_E17_STA100986	2983.0	1956.0	2550.0	3994.0	2093.0	7131.0	430.0	1429.0	4324.0	458.0	2175.0	3214.0	2994.0	4340.0	4630.0	1055.0	4565.0	2323.0	3457.0	3264.0	5512.0	3597.0	2070.0	1057.0	2840.0	504.0	1436.0	84.0	1906.0	9294.0	4148.0
BRCA1_E16_STA101747	2450.0	1098.0	1844.0	2454.0	1176.0	4326.0	263.0	1231.0	2834.0	343.0	1540.0	2398.0	2028.0	3094.0	3322.0	683.0	3119.0	2205.0	1463.0	3106.0	4152.0	2440.0	1865.0	460.0	1911.0	259.0	896.0	34.0	1558.0	8119.0	2563.0
BRCA1_E16_STA100988	5151.0	2509.0	3847.0	5639.0	2370.0	7651.0	443.0	2018.0	4946.0	463.0	2872.0	5050.0	3952.0	6575.0	6065.0	1177.0	6373.0	3343.0	2955.0	4765.0	9879.0	4967.0	2955.0	1155.0	4402.0	455.0	2469.0	128.0	3029.0	14899.0	5934.0
BRCA1_E15_STA100989	14568.0	9112.0	9955.0	16691.0	9633.0	25090.0	2118.0	6232.0	18765.0	1468.0	7810.0	13930.0	11995.0	18249.0	17676.0	4393.0	19336.0	7350.0	13507.0	15019.0	24334.0	14366.0	9458.0	4007.0	10170.0	1470.0	7389.0	466.0	8527.0	45367.0	17302.0
