	C21D00402	C21D00444	D21D00412	M21D00435	N21D00374	N21D00379	N21D00401	N21D00404	N21D00438	N21D00440	P21D00366	P21D00372	P21D00373	P21D00386	P21D00389	P21D00391	P21D00395	P21D00396	P21D00397	P21D00398	P21D00399	P21D00405	P21D00408	P21D00436	P21D00437	P21D00442	P21D00447	S21D00410	X20D02486	X21D00400T
JAK1_E22_STA100330	1398.0	2249.0	1238.0	2300.0	5678.0	3015.0	7774.0	1792.0	3103.0	134.0	6906.0	1409.0	2163.0	1392.0	190.0	284.0	4927.0	7002.0	3437.0	4288.0	16446.0	5140.0	2170.0	6933.0	6187.0	7328.0	483.0	432.0	5453.0	3376.0
JAK1_E21_STA100331	805.0	1099.0	871.0	1243.0	3153.0	1817.0	4938.0	1114.0	1138.0	102.0	3321.0	572.0	1116.0	940.0	100.0	222.0	1722.0	3109.0	1896.0	2354.0	5457.0	2389.0	1174.0	3159.0	2204.0	4343.0	189.0	390.0	2493.0	1481.0
JAK1_E21_STA100332	4204.0	5116.0	3623.0	5823.0	15511.0	9228.0	20704.0	6041.0	6069.0	458.0	20166.0	3658.0	6998.0	5067.0	821.0	1544.0	13735.0	15057.0	10506.0	10999.0	39164.0	14078.0	8022.0	15613.0	13198.0	21974.0	1841.0	962.0	15723.0	9821.0
JAK1_E21_STA100333	4695.0	5823.0	4818.0	7091.0	18197.0	11305.0	24542.0	6781.0	5207.0	483.0	16639.0	2478.0	6270.0	5505.0	481.0	816.0	11637.0	17662.0	11081.0	12730.0	29719.0	12491.0	6334.0	15881.0	12593.0	24174.0	2044.0	2552.0	13412.0	7649.0
JAK1_E20_STA100334	1756.0	1805.0	1357.0	1275.0	4802.0	3923.0	9393.0	2515.0	1298.0	48.0	6857.0	923.0	1744.0	1117.0	334.0	249.0	3514.0	4810.0	2964.0	3911.0	11412.0	4812.0	1839.0	4374.0	3194.0	7500.0	326.0	343.0	4027.0	2640.0
JAK1_E20_STA100335	8488.0	7654.0	7469.0	7846.0	26168.0	19690.0	46617.0	9196.0	9013.0	736.0	29686.0	4119.0	8794.0	4994.0	752.0	1426.0	16580.0	24787.0	17200.0	18036.0	55473.0	21643.0	9726.0	18047.0	13682.0	42068.0	1653.0	1657.0	23088.0	11251.0
JAK1_E20_STA100336	7708.0	6913.0	6847.0	6716.0	26001.0	18549.0	44869.0	10117.0	6676.0	350.0	27776.0	3350.0	8726.0	5178.0	705.0	1301.0	16175.0	24905.0	14360.0	19151.0	50006.0	20143.0	8894.0	18193.0	13636.0	39484.0	1627.0	1719.0	21649.0	11295.0
JAK1_E20_STA100337	6499.0	5626.0	5765.0	5865.0	24317.0	15123.0	35130.0	8928.0	5348.0	291.0	21158.0	2544.0	7417.0	4200.0	680.0	1355.0	13598.0	21614.0	11657.0	15478.0	38286.0	16362.0	7143.0	15501.0	12277.0	33350.0	1645.0	1896.0	18176.0	8438.0
JAK1_E19_STA100338	3248.0	2824.0	2584.0	2826.0	10058.0	8087.0	16257.0	5579.0	2755.0	289.0	10240.0	1571.0	3703.0	2152.0	138.0	530.0	6066.0	9948.0	6960.0	7034.0	20050.0	6892.0	3657.0	6986.0	5240.0	15721.0	851.0	707.0	8935.0	3897.0
JAK1_E19_STA100339	2671.0	3278.0	1998.0	2336.0	10427.0	6220.0	12946.0	4430.0	2920.0	149.0	11460.0	1730.0	3843.0	2352.0	398.0	811.0	7681.0	8046.0	4914.0	6436.0	25399.0	8471.0	3750.0	8419.0	6109.0	13129.0	721.0	729.0	7486.0	5462.0
