	C21D00284	C21D00304	C21D00307	D21D00280T	D21D00289	D21D00299	D21D00327T	D21D00329T	D21D00335T	D21D00342T	M21D00265	M21D00302	N21D00272	N21D00273	N21D00290	N21D00301	N21D00310	P21D00308	P21D00309	P21D00322	P21D00332	P21D00334	P21D00338	P21D00341	P21D00343	P21D00346	S21D00266	U21D00339	X21D00263	X21D00340
RICTOR_E10_STA101482	7809.0	3711.0	9439.0	14841.0	10535.0	3971.0	9950.0	3486.0	6286.0	41521.0	9586.0	10836.0	11024.0	3206.0	10835.0	4662.0	1484.0	18167.0	5329.0	15056.0	3929.0	17095.0	22084.0	2909.0	2950.0	3387.0	4681.0	909.0	7159.0	5827.0
RICTOR_E9_STA101483	1845.0	852.0	2875.0	4283.0	2540.0	1011.0	3331.0	1448.0	1791.0	11760.0	2690.0	2550.0	3330.0	751.0	3302.0	1262.0	331.0	4262.0	1376.0	3045.0	1085.0	4376.0	5052.0	1077.0	712.0	879.0	1216.0	108.0	1946.0	1654.0
RICTOR_E8_STA101484	1645.0	620.0	2258.0	2779.0	1806.0	580.0	2748.0	591.0	1105.0	10174.0	1318.0	2788.0	1878.0	442.0	1909.0	798.0	165.0	4284.0	1217.0	2312.0	544.0	2560.0	4153.0	765.0	514.0	660.0	1023.0	128.0	1492.0	929.0
RICTOR_E7_STA101485	846.0	368.0	1510.0	2316.0	1308.0	539.0	1853.0	790.0	740.0	8262.0	1822.0	1418.0	1108.0	386.0	1362.0	760.0	186.0	2052.0	741.0	1475.0	523.0	1984.0	2373.0	649.0	338.0	350.0	698.0	68.0	1631.0	670.0
RICTOR_E6_STA101486	280.0	216.0	688.0	802.0	570.0	240.0	826.0	346.0	260.0	2794.0	560.0	634.0	602.0	172.0	666.0	235.0	66.0	1241.0	179.0	775.0	246.0	805.0	1127.0	167.0	146.0	192.0	294.0	42.0	432.0	353.0
RICTOR_E5_STA101739	7172.0	2945.0	8545.0	17220.0	9030.0	3509.0	11872.0	4755.0	5872.0	37297.0	9446.0	9779.0	8464.0	2692.0	9607.0	5529.0	848.0	16325.0	4860.0	11193.0	3033.0	15286.0	19280.0	3611.0	2232.0	3142.0	4044.0	603.0	7288.0	6057.0
RICTOR_E4_STA101488	6691.0	3143.0	9675.0	14244.0	9110.0	3825.0	12082.0	3404.0	5780.0	44154.0	10377.0	9999.0	10977.0	2944.0	10715.0	4255.0	1040.0	18399.0	4219.0	12679.0	3620.0	15783.0	17880.0	3080.0	1975.0	2821.0	4857.0	531.0	7033.0	4752.0
RICTOR_E3_STA101489	568.0	320.0	1274.0	1444.0	1194.0	460.0	1702.0	464.0	464.0	4798.0	937.0	1307.0	1229.0	316.0	1247.0	484.0	162.0	2241.0	695.0	1436.0	332.0	2045.0	2232.0	324.0	376.0	402.0	522.0	44.0	613.0	629.0
RICTOR_E1_STA101491	1815.0	1018.0	3340.0	1683.0	2137.0	1033.0	2632.0	895.0	1274.0	6530.0	943.0	4219.0	5232.0	774.0	4371.0	777.0	197.0	4501.0	1508.0	4267.0	1395.0	4869.0	2307.0	476.0	396.0	837.0	732.0	74.0	643.0	1581.0
HIST1H3B_E1_STA100235	2915.0	1128.0	5583.0	4391.0	4464.0	2116.0	7649.0	2345.0	2496.0	19836.0	3473.0	6056.0	6304.0	1420.0	5577.0	2190.0	590.0	8107.0	3591.0	6877.0	1198.0	5540.0	8439.0	1335.0	1449.0	2382.0	2253.0	178.0	2364.0	3699.0
