	M21D00182	M21D00185	M21D00194	M21D00219	N21D00184	N21D00213	N21D00214	N21D00217	N21D00218	N21D00223	P21D00158	P21D00159	P21D00164	P21D00165	P21D00169	P21D00170	P21D00173	P21D00180	P21D00181	P21D00186	P21D00189	P21D00190	P21D00191	P21D00195	P21D00200	P21D00209	P21D00210	P21D00215	P21D00221	P21D00222	X21D00163
NF1_E40_STA100903	7291.0	7714.0	3312.0	436.0	5409.0	3727.0	8160.0	3060.0	2176.0	5058.0	1227.0	6241.0	9796.0	9851.0	11178.0	7746.0	3910.0	7124.0	2334.0	5811.0	14471.0	4197.0	5121.0	2071.0	12368.0	8191.0	1520.0	6128.0	9779.0	4769.0	818.0
NF1_E40_STA100904	2683.0	3230.0	1610.0	146.0	2504.0	1579.0	3430.0	1310.0	881.0	2106.0	427.0	2748.0	4120.0	3940.0	4518.0	2942.0	1746.0	3522.0	1151.0	2473.0	6176.0	2052.0	2164.0	996.0	5167.0	3091.0	536.0	2671.0	4422.0	2062.0	481.0
NF1_E40_STA100905	1344.0	1219.0	569.0	32.0	1370.0	542.0	1422.0	625.0	425.0	1050.0	206.0	880.0	1690.0	1665.0	2687.0	1222.0	841.0	1153.0	456.0	1339.0	2548.0	1123.0	1184.0	362.0	2572.0	1372.0	316.0	1113.0	2133.0	812.0	150.0
NF1_E40_STA100906	9017.0	9633.0	4280.0	494.0	6540.0	4608.0	8352.0	3439.0	2433.0	5245.0	1363.0	7343.0	9768.0	9577.0	11884.0	8360.0	3383.0	8945.0	2900.0	4926.0	14935.0	5139.0	5287.0	2576.0	12380.0	9064.0	1575.0	6959.0	8844.0	5208.0	1099.0
NF1_E41_STA100907	5273.0	5832.0	2697.0	342.0	4195.0	2518.0	7350.0	2407.0	1693.0	4125.0	948.0	4327.0	7592.0	7489.0	8945.0	5496.0	3568.0	6031.0	2338.0	4328.0	13385.0	3399.0	4015.0	1691.0	11593.0	6430.0	1064.0	5542.0	7776.0	4360.0	1658.0
NF1_E41_STA100908	10450.0	8207.0	3996.0	483.0	7906.0	3617.0	10510.0	3948.0	2657.0	5867.0	1489.0	5753.0	9355.0	11255.0	15378.0	7603.0	3998.0	7173.0	2840.0	6077.0	16161.0	6138.0	7161.0	2155.0	15201.0	10088.0	1513.0	7360.0	11793.0	4449.0	1554.0
NF1_E41_STA100909	2641.0	3182.0	1545.0	128.0	2617.0	1302.0	3197.0	1185.0	625.0	2136.0	446.0	3304.0	3821.0	3707.0	4992.0	3045.0	1821.0	3797.0	1074.0	2416.0	6363.0	1753.0	2270.0	903.0	5313.0	2800.0	536.0	2608.0	4162.0	1959.0	400.0
NF1_E42_STA100910	3506.0	4207.0	1911.0	188.0	3275.0	1742.0	4903.0	1580.0	982.0	2664.0	520.0	2716.0	4419.0	4244.0	5472.0	4358.0	2010.0	3955.0	1219.0	2949.0	8523.0	2475.0	2747.0	1146.0	6445.0	3471.0	757.0	3381.0	5498.0	2521.0	895.0
NF1_E42_STA100911	2340.0	3060.0	1623.0	158.0	1960.0	1279.0	2956.0	1140.0	763.0	1991.0	432.0	2090.0	3260.0	3302.0	3241.0	3023.0	1317.0	3448.0	871.0	1949.0	5569.0	1391.0	1716.0	844.0	4291.0	2670.0	436.0	2267.0	3733.0	1908.0	508.0
NF1_E42_STA100912	17679.0	18783.0	7493.0	630.0	13252.0	8002.0	17855.0	6624.0	4512.0	11982.0	2921.0	13840.0	20921.0	19978.0	25441.0	16218.0	7967.0	16567.0	4975.0	11783.0	31460.0	8582.0	12231.0	4714.0	26549.0	17363.0	3154.0	13990.0	21084.0	10361.0	2419.0
NF1_E42_STA100913	12935.0	13301.0	5593.0	564.0	9578.0	6167.0	12276.0	4725.0	3675.0	7789.0	1834.0	9777.0	14695.0	14935.0	17994.0	12423.0	6031.0	12322.0	3823.0	8334.0	22894.0	6062.0	8796.0	3161.0	19260.0	12695.0	2090.0	9594.0	14661.0	7454.0	1837.0
NF1_E42_STA100914	6069.0	6438.0	2591.0	287.0	4975.0	3099.0	6378.0	2425.0	1992.0	3995.0	698.0	4460.0	7500.0	6386.0	8870.0	5954.0	2954.0	5785.0	1842.0	4184.0	11068.0	2814.0	4175.0	1568.0	9315.0	5831.0	1014.0	4669.0	7051.0	3791.0	863.0
NF1_E43_STA101828	3989.0	4425.0	2145.0	246.0	3617.0	1837.0	4084.0	1500.0	1007.0	2510.0	648.0	3525.0	4900.0	4621.0	5379.0	4408.0	2045.0	4670.0	1256.0	3245.0	8918.0	2294.0	2958.0	1126.0	6888.0	4131.0	795.0	3413.0	4834.0	2310.0	948.0
NF1_E43_STA100916	5091.0	3821.0	2825.0	167.0	3751.0	2085.0	4526.0	1921.0	1094.0	3186.0	441.0	3437.0	5482.0	5587.0	6569.0	4993.0	2927.0	5583.0	1633.0	3258.0	10798.0	2574.0	3223.0	1413.0	8750.0	4159.0	797.0	4563.0	6762.0	3014.0	491.0
