	C21D00575	D21D00569T	D21D00578T	D21D00591	D21D00593	D21D00597	D21D00609T	D21D00611T	M21D00568	M21D00589	N21D00564	N21D00580	N21D00608	P21D00567	P21D00573	P21D00584	P21D00586	P21D00588	P21D00594	P21D00595	P21D00596	P21D00598	P21D00599	P21D00605	P21D00606	T21D00581	X21D00548T	X21D00552	X21D00558	X21D00587	X21D00600
TERT_E4_STA101183	1722.0	4711.0	3635.0	3617.0	1521.0	3516.0	259.0	5715.0	2560.0	2104.0	2279.0	10059.0	5777.0	544.0	9427.0	2975.0	8924.0	4524.0	1393.0	1439.0	5748.0	6364.0	990.0	3093.0	2514.0	8984.0	4830.0	844.0	596.0	568.0	312.0
TERT_E4_STA101184	1808.0	5645.0	4133.0	4520.0	1981.0	4431.0	485.0	7332.0	2384.0	2364.0	2895.0	10357.0	6994.0	723.0	12532.0	3259.0	10225.0	4697.0	1528.0	1534.0	6046.0	7154.0	1287.0	3433.0	3133.0	8582.0	5134.0	990.0	906.0	652.0	222.0
TERT_E4_STA101185	3251.0	8881.0	6953.0	8135.0	3467.0	10488.0	864.0	12401.0	4369.0	2939.0	4251.0	17288.0	9353.0	1463.0	18989.0	5672.0	16748.0	6207.0	2836.0	1860.0	7747.0	10416.0	2306.0	5629.0	5500.0	12049.0	9052.0	1672.0	1559.0	1108.0	562.0
TERT_E3_STA101186	2843.0	10059.0	7306.0	7225.0	3378.0	8984.0	727.0	13640.0	5864.0	3993.0	4915.0	21534.0	10385.0	1731.0	19111.0	5946.0	16068.0	8759.0	3535.0	2365.0	8712.0	11746.0	2288.0	5718.0	5477.0	13543.0	8658.0	1663.0	1449.0	941.0	307.0
TERT_E3_STA101187	5325.0	13350.0	11826.0	12270.0	5567.0	12031.0	1265.0	19954.0	8137.0	6117.0	7461.0	29466.0	16460.0	2100.0	30545.0	8483.0	24956.0	11821.0	5622.0	3455.0	12661.0	18826.0	3589.0	8431.0	8114.0	18136.0	10141.0	2332.0	2504.0	1671.0	558.0
TERT_E3_STA101188	3946.0	13228.0	11045.0	10898.0	4743.0	12668.0	1423.0	19013.0	5348.0	4528.0	5905.0	23223.0	13844.0	1807.0	27023.0	9664.0	24972.0	10982.0	4136.0	2276.0	12594.0	16467.0	3364.0	8291.0	6842.0	17861.0	11819.0	1836.0	2334.0	1634.0	597.0
TERT_E2_STA101189	1475.0	7849.0	7049.0	6257.0	2791.0	10381.0	1316.0	13371.0	4364.0	3128.0	2776.0	13927.0	4071.0	1082.0	14195.0	4527.0	8380.0	3682.0	1906.0	1323.0	7058.0	8168.0	1751.0	3854.0	3478.0	8789.0	8373.0	1095.0	1296.0	745.0	405.0
TERT_E2_STA101190	418.0	2446.0	1852.0	1882.0	797.0	2378.0	296.0	3091.0	1348.0	929.0	1043.0	5433.0	2342.0	306.0	5177.0	1348.0	3997.0	1523.0	546.0	560.0	2358.0	3559.0	484.0	1856.0	1465.0	3512.0	2430.0	340.0	324.0	250.0	110.0
TERT_E2_STA101191	387.0	1314.0	1350.0	1102.0	414.0	1243.0	119.0	1860.0	733.0	560.0	592.0	2969.0	1807.0	246.0	3172.0	657.0	2197.0	907.0	273.0	463.0	1656.0	2258.0	251.0	987.0	865.0	2150.0	887.0	274.0	161.0	207.0	26.0
TERT_E2_STA103246	1750.0	6754.0	6866.0	6325.0	2540.0	7460.0	1078.0	11241.0	4049.0	2434.0	2771.0	14823.0	7171.0	1060.0	15898.0	3698.0	11560.0	3641.0	1862.0	1733.0	6148.0	9644.0	1609.0	4508.0	3595.0	8979.0	5572.0	1091.0	840.0	839.0	413.0
TERT_E2_STA101193	145.0	650.0	431.0	523.0	292.0	518.0	56.0	812.0	244.0	248.0	327.0	1366.0	703.0	71.0	1660.0	358.0	1243.0	461.0	98.0	142.0	830.0	874.0	104.0	404.0	441.0	1401.0	640.0	94.0	92.0	164.0	52.0
TERT_E2_STA101812	1333.0	4818.0	4839.0	4429.0	2233.0	5385.0	587.0	7256.0	2788.0	2075.0	2795.0	9451.0	6119.0	579.0	12796.0	3164.0	10617.0	3348.0	1075.0	1353.0	5162.0	7464.0	1159.0	3420.0	2972.0	7312.0	4471.0	914.0	1037.0	634.0	314.0
TERT_E2_STA101811	1386.0	5925.0	5395.0	4813.0	2164.0	6606.0	695.0	8406.0	2876.0	1997.0	2599.0	10885.0	6307.0	847.0	13191.0	3528.0	10339.0	3313.0	1007.0	1338.0	5990.0	7814.0	922.0	3568.0	3931.0	9131.0	6979.0	806.0	772.0	798.0	269.0
TERT_E2_STA102079	1363.0	5678.0	4570.0	4176.0	1862.0	5853.0	423.0	7039.0	2847.0	1817.0	2235.0	10410.0	5350.0	765.0	12823.0	2831.0	8183.0	3113.0	843.0	1390.0	5265.0	7297.0	969.0	3551.0	2962.0	7200.0	4593.0	863.0	655.0	516.0	428.0
TERT_E2_STA101197	438.0	1470.0	2032.0	1830.0	683.0	1420.0	258.0	2732.0	1205.0	664.0	1018.0	4718.0	2698.0	195.0	4830.0	1057.0	2941.0	1595.0	378.0	589.0	2554.0	3562.0	330.0	1275.0	1436.0	2496.0	1262.0	431.0	208.0	239.0	134.0
TERT_E2_STA102080	274.0	1142.0	1427.0	1226.0	412.0	1079.0	138.0	1844.0	902.0	491.0	730.0	3626.0	2008.0	121.0	3129.0	797.0	2188.0	1161.0	268.0	430.0	1859.0	2508.0	209.0	993.0	1142.0	1984.0	949.0	292.0	150.0	168.0	84.0
TERT_E2_STA103243	161.0	859.0	772.0	701.0	318.0	697.0	120.0	1187.0	490.0	324.0	350.0	1684.0	916.0	105.0	2351.0	444.0	1446.0	515.0	210.0	301.0	951.0	1500.0	166.0	486.0	540.0	1365.0	709.0	163.0	178.0	106.0	96.0
TERT_E2_STA103247	827.0	3028.0	2723.0	2470.0	1188.0	2897.0	460.0	4638.0	2398.0	1111.0	1495.0	6756.0	3870.0	253.0	8150.0	1730.0	5193.0	2042.0	505.0	1072.0	3442.0	5649.0	661.0	2287.0	2267.0	4999.0	2885.0	627.0	451.0	388.0	150.0
TERT_E2_STA102076	787.0	2486.0	2852.0	2956.0	1383.0	2958.0	351.0	5022.0	1746.0	1497.0	1954.0	5140.0	4880.0	270.0	9219.0	2075.0	5204.0	2183.0	685.0	997.0	3786.0	5621.0	707.0	2222.0	2716.0	4853.0	2888.0	532.0	374.0	345.0	199.0
TERT_E2_STA101206	328.0	1139.0	1619.0	1219.0	381.0	1079.0	74.0	1750.0	637.0	605.0	846.0	3201.0	2107.0	151.0	3976.0	827.0	2209.0	1174.0	129.0	666.0	1924.0	2351.0	232.0	1048.0	1009.0	2223.0	988.0	312.0	159.0	154.0	211.0
RICTOR_E38_STA101453	556.0	683.0	658.0	711.0	546.0	310.0	98.0	634.0	476.0	495.0	633.0	892.0	1311.0	264.0	1387.0	602.0	1580.0	3064.0	918.0	150.0	460.0	1126.0	514.0	420.0	412.0	676.0	494.0	274.0	168.0	326.0	14.0
RICTOR_E37_STA101454	2173.0	3078.0	3199.0	3438.0	2283.0	1789.0	228.0	2707.0	3243.0	2500.0	2441.0	4896.0	4639.0	1657.0	6174.0	2964.0	4901.0	12837.0	3769.0	824.0	2314.0	4860.0	2276.0	2218.0	1460.0	3634.0	1958.0	1426.0	668.0	1233.0	102.0
RICTOR_E36_STA101455	493.0	313.0	401.0	521.0	337.0	201.0	92.0	412.0	370.0	312.0	300.0	569.0	777.0	170.0	926.0	276.0	804.0	1652.0	632.0	153.0	286.0	599.0	402.0	290.0	174.0	471.0	138.0	152.0	186.0	208.0	48.0
RICTOR_E35_STA101456	5621.0	5330.0	5305.0	5601.0	4185.0	3386.0	640.0	5612.0	4909.0	4827.0	4697.0	6774.0	9567.0	2501.0	11183.0	5623.0	9288.0	25571.0	6907.0	1353.0	3784.0	8995.0	6394.0	4169.0	3195.0	5341.0	3100.0	2722.0	1569.0	2825.0	120.0
RICTOR_E34_STA101457	1851.0	2151.0	1953.0	2337.0	1378.0	649.0	166.0	1495.0	2043.0	1967.0	1913.0	3241.0	4256.0	957.0	3886.0	1773.0	3538.0	12800.0	2589.0	643.0	2090.0	3073.0	1249.0	1582.0	1398.0	2383.0	729.0	791.0	646.0	811.0	26.0
RICTOR_E33_STA101458	9231.0	6787.0	9302.0	8890.0	6977.0	3570.0	875.0	8075.0	6904.0	6358.0	8279.0	11777.0	15607.0	3822.0	18776.0	7286.0	14644.0	38533.0	12511.0	2261.0	5983.0	13168.0	8913.0	5847.0	4618.0	7798.0	3277.0	3241.0	2085.0	4318.0	324.0
