	D22D01232T	D22D01243T	D22D01253T	D22D01255T	D22D01259T	D22D01264T	E22D01256T	M22D01252	N22D01235	N22D01242	N22D01248	P22D01231	P22D01234	P22D01244	P22D01246	P22D01247	P22D01257	P22D01258	P22D01262	R22D01249	X22D00781	X22D00784	X22D00786	X22D00787	X22D00790	X22D00791	X22D00794	X22D00797	X22D00867	X22D00871	X22D00876	X22D01254
13q13_BRCA2_E10_STA100540	46187	84954	55529	53851	15206	17234	14998	13192	60502	56458	19996	46	816	11080	17392	19196	8115	8533	13803	3545	186	10	39	42	68	2	10	6	60	36	311	24082
13q13_BRCA2_E10_STA100541	39782	74591	51079	47549	13733	15080	13444	11673	51562	48935	17766	43	757	9772	15642	17192	7299	7565	12552	3176	148	10	36	42	66	2	10	4	47	34	157	21704
13q13_BRCA2_E10_STA100542	50553	94380	62177	57929	16986	17942	16486	14347	65694	58968	21508	46	900	12012	18743	20604	8762	9105	15181	4146	148	12	36	42	70	6	10	4	76	46	176	27088
13q13_BRCA2_E10_STA100543	22901	40178	26176	25107	7222	6254	6850	6716	30476	23631	8626	4	380	5252	7342	8751	3878	3406	5549	1970	0	10	30	0	4	4	2	2	32	42	42	11990
13q13_BRCA2_E11_STA100544	7998	16955	9776	11117	3410	3013	3471	2392	10456	8975	4836	0	96	2522	2996	4228	1044	1044	2350	978	0	0	0	0	2	0	2	0	8	0	6	5082
13q13_BRCA2_E11_STA100545	32084	53530	19406	33969	8843	9962	6375	6707	41491	29922	10429	40	662	5885	9254	14120	3268	3837	6611	2134	0	4	2	12	8	8	12	8	26	112	20	12048
13q13_BRCA2_E11_STA100546	32617	54899	18584	33819	8137	10131	5410	6892	42619	31037	9127	40	809	5989	9439	14258	3628	4142	6763	2160	2	6	4	16	6	10	10	14	30	116	20	11521
13q13_BRCA2_E11_STA100547	42141	68956	27092	43135	10887	12658	7507	9702	51780	40526	10886	40	922	7927	11990	16794	5457	5704	8408	2598	2	6	54	16	8	12	12	14	32	116	22	14377
13q13_BRCA2_E11_STA100548	24137	44342	25063	27365	7136	7496	6256	7482	28333	25134	7280	2	398	6019	7492	9799	4384	3835	5585	1993	2	2	52	4	2	6	4	6	26	4	8	10508
13q13_BRCA2_E11_STA100549	35309	66131	33786	40152	10323	11416	9351	9899	42234	40937	11562	4	395	7912	11104	14650	5587	5407	8824	2352	10	2	52	2	4	4	4	2	22	2	87	15605
13q13_BRCA2_E11_STA100550	35275	71014	32709	40286	10380	12067	9103	9275	46364	41753	11809	8	326	8479	12416	16523	5402	5721	9662	2423	12	2	2	8	2	2	2	5	24	6	115	16825
13q13_BRCA2_E11_STA100551	37001	77906	34152	42152	10961	13597	9780	9481	48498	44576	13225	18	565	9670	13653	17120	5778	6349	10208	2539	12	2	4	10	4	3	0	12	22	33	120	17967
13q13_BRCA2_E11_STA100552	37895	76367	34749	38833	10928	13447	9915	9300	41471	38937	13066	18	496	10654	13000	15752	6150	7460	9658	2927	16	2	2	8	8	18	4	16	70	38	82	17183
13q13_BRCA2_E11_STA100553	34276	71185	35819	38115	10067	13394	9689	9570	36852	35558	13003	18	620	10063	11931	13317	6210	7109	8976	2749	16	4	2	2	8	24	4	18	70	34	48	16863
13q13_BRCA2_E11_STA100554	36136	70508	37477	38730	10492	13317	9881	10721	39476	37846	12656	8	442	9666	11909	14665	6509	6995	9210	2842	18	4	2	0	6	20	6	12	92	36	82	17669
13q13_BRCA2_E11_STA100555	21786	45637	26305	27002	7081	8876	6375	7521	28525	24962	8801	6	365	6202	8201	10606	4584	3911	5741	1850	4	4	6	2	0	8	6	6	40	30	42	12741
13q13_BRCA2_E11_STA100556	16076	32263	16518	17558	4771	5680	4204	4994	19524	18375	6856	2	134	3920	5241	8153	2817	2341	3640	1274	8	2	6	2	0	2	8	0	36	36	42	8629
13q13_BRCA2_E11_STA100557	18476	35395	17644	18744	5195	6438	4956	4324	21264	18726	9050	2	204	4649	5906	8034	3041	3762	3941	1411	6	2	4	4	2	6	6	0	4	8	16	8947
13q13_BRCA2_E11_STA100558	22065	38793	19470	20446	5184	6967	5165	5540	24933	20155	9126	4	296	4952	6365	8399	3439	4104	4304	1642	6	2	2	4	6	4	4	2	0	8	14	9282
13q13_BRCA2_E11_STA100559	25218	46765	23930	23416	6175	8010	6181	6634	27301	22593	9731	4	415	5771	7639	10388	4521	5043	5158	1862	0	4	4	4	8	8	2	10	0	2	32	10582
13q13_BRCA2_E11_STA100560	29948	57245	14088	13849	7044	9008	5664	5724	33594	30699	8342	7	313	4523	9896	12136	4821	4629	6240	1525	2	7	3	3	15	10	3	11	14	4	55	7291
